"","council","classification","ord_pop_dens","ord_socio","ord_unemploy","ord_activbus","ord_recexpcap","ord_pubspac","bush","score","order_score","tokens_council"
"92","Cowra",10,59,74,40.5,69,14,68.5,20,355,38,25
"93","Port Stephens",30,92,30,30,89,47,11,20,349,37,25
"94","Greater Hume",10,52,36.5,50.5,29,82,68.5,20,348.5,36,25
"95","Port Macquarie-Hastings",30,88,63,46.5,93,24.5,3,0,348,35,25
"96","Hawkesbury",40,82,30,69,92,21,12,0,346,33.5,25
"97","Lachlan",10,14,50,93,2,114,43,20,346,33.5,25
"98","Brewarrina",20,33,102,12,12,76,68.5,20,343.5,32,25
"99","City of Lithgow",30,40.5,102,5,19.5,122,4,20,343,30.5,25
"100","Yass Valley",10,69,7,119,64,11,43,20,343,30.5,25
"101","Armidale Regional",30,61,102,13,65,2,68.5,0,341.5,29,25
"102","Richmond Valley",30,75.5,89,14,48,59,22,0,337.5,28,25
"103","Blayney",10,15.5,34.5,69,55,85,48,20,337,26.5,25
"104","Broken Hill",30,3,89,22,39,91,43,20,337,26.5,25
"105","Balranald",20,48,81.5,62.5,32,4,68.5,20,336.5,25,25
"106","Dungog",10,70,50,54.5,57.5,24.5,68.5,0,335,23.5,25
"107","Forbes",10,40.5,74,46.5,42,10,92,20,335,23.5,25
"108","Mid-Western Regional",30,73.5,4,38,56,34,97,0,332.5,22,25
"109","Leeton",10,11,46,112,19.5,18,89,20,325.5,21,30
"110","Federation",10,50,102,3,6,103,29.5,20,323.5,20,30
"111","Parkes",10,12,61,37,22,69,89,20,320,19,30
"112","Bourke",20,24.5,77.5,8,7,118,43,20,318,17.5,30
"113","Oberon",10,34,26.5,53,34,92,68.5,0,318,17.5,30
"114","Inverell",10,21,63,26,61,39,87,0,307,16,30
"115","Lockhart",20,57,23.5,98.5,11,8,68.5,20,306.5,15,30
"116","Upper Hunter",10,21,30,46.5,41,67,68.5,20,304,14,30
"117","Cessnock",30,89,41.5,9,66,35,28,0,298.5,13,30
"118","Nambucca",10,45.5,102,19,31,19,68.5,0,295,12,30
"119","Gwydir",10,67,102,32,51,1,27,0,290,11,30
"120","Tenterfield",10,13,77.5,28,46,73,36.5,0,284,10,30
"121","Blue Mountains",40,5,21.5,82.5,76,20,36.5,0,281.5,9,30
"122","Berrigan",10,68,57,34,4,15,68.5,20,276.5,8,30
"123","Wentworth",10,27,41.5,23,38,86,18,20,263.5,7,30
"124","Singleton",30,10,2,69,60,38,48,0,257,6,30
"125","Kyogle",10,6,118,20,44,33,21,0,252,5,30
"126","Muswellbrook",10,7,1,28,40,75,89,0,250,4,30
"127","Narrabri",10,15.5,54.5,52,67,31,14,0,244,3,30
"128","Uralla",10,8,34.5,60.5,33,30,20,0,196,2,30
"129","Lismore",30,4,23.5,18,52,17,16,0,160.5,1,30
